run_id,lr,dim,tau,fdqn,name,sdqn,seed,end_e,gamma,freq_q,sample,start_e,algorithm,benchmark,config_id,batch_size,exp_reward,buffer_size,use_upper_q,reward_shape,expl_fraction,reverse_agents,total_episodes,importance_base,learning_starts,piecewise_linear,update_towards_q,use_single_buffer,importance_sigmoid,target_update_freq,run_name,autorecursive,n_act
pqy672ly,0.0003085539563236,2,0.4765151942585088,True,sdqn,True,19,0.01,0.9696311972692117,1,False,0.1341366120118062,sdqn,piecewise_linear,best_sdqn,105,4.6,2500,False,exponential,0.5,False,10000,0.5,2500,True,True,False,False,33,sdqn_2D,,3.0
vj1hw9ji,0.0003085539563236,2,0.4765151942585088,True,sdqn,True,13,0.01,0.9696311972692117,1,False,0.1341366120118062,sdqn,piecewise_linear,best_sdqn,105,4.6,2500,False,exponential,0.5,False,10000,0.5,2500,True,True,False,False,33,sdqn_2D,,3.0
glsfe6tb,0.0003085539563236,2,0.4765151942585088,True,sdqn,True,14,0.01,0.9696311972692117,1,False,0.1341366120118062,sdqn,piecewise_linear,best_sdqn,105,4.6,2500,False,exponential,0.5,False,10000,0.5,2500,True,True,False,False,33,sdqn_2D,,3.0
8lqbimy8,0.0003085539563236,2,0.4765151942585088,True,sdqn,True,12,0.01,0.9696311972692117,1,False,0.1341366120118062,sdqn,piecewise_linear,best_sdqn,105,4.6,2500,False,exponential,0.5,False,10000,0.5,2500,True,True,False,False,33,sdqn_2D,,3.0
9kwheqmg,0.0003085539563236,2,0.4765151942585088,True,sdqn,True,11,0.01,0.9696311972692117,1,False,0.1341366120118062,sdqn,piecewise_linear,best_sdqn,105,4.6,2500,False,exponential,0.5,False,10000,0.5,2500,True,True,False,False,33,sdqn_2D,,3.0
pwwvicfd,0.0003085539563236,2,0.4765151942585088,True,sdqn,True,15,0.01,0.9696311972692117,1,False,0.1341366120118062,sdqn,piecewise_linear,best_sdqn,105,4.6,2500,False,exponential,0.5,False,10000,0.5,2500,True,True,False,False,33,sdqn_2D,,3.0
sggwcf4f,0.0003085539563236,2,0.4765151942585088,True,sdqn,True,16,0.01,0.9696311972692117,1,False,0.1341366120118062,sdqn,piecewise_linear,best_sdqn,105,4.6,2500,False,exponential,0.5,False,10000,0.5,2500,True,True,False,False,33,sdqn_2D,,3.0
f7rb0snn,0.0003085539563236,2,0.4765151942585088,True,sdqn,True,18,0.01,0.9696311972692117,1,False,0.1341366120118062,sdqn,piecewise_linear,best_sdqn,105,4.6,2500,False,exponential,0.5,False,10000,0.5,2500,True,True,False,False,33,sdqn_2D,,3.0
jktvq1h1,0.0003085539563236,2,0.4765151942585088,True,sdqn,True,10,0.01,0.9696311972692117,1,False,0.1341366120118062,sdqn,piecewise_linear,best_sdqn,105,4.6,2500,False,exponential,0.5,False,10000,0.5,2500,True,True,False,False,33,sdqn_2D,,3.0
mmvwzqdx,0.0003085539563236,2,0.4765151942585088,True,sdqn,True,17,0.01,0.9696311972692117,1,False,0.1341366120118062,sdqn,piecewise_linear,best_sdqn,105,4.6,2500,False,exponential,0.5,False,10000,0.5,2500,True,True,False,False,33,sdqn_2D,,3.0
s23r8s4i,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,13,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.3,2500,True,,False,False,12,saql_5D,True,3.0
v8auizr5,3.2679906934047e-05,5,0.1258201075347501,True,iql,False,15,0.01,0.9147926084577456,1,False,0.9289289127307658,iql,piecewise_linear,best_iql,63,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,39,iql_5D,False,3.0
w74i5e9o,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,16,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.3,2500,True,,False,False,12,saql_5D,True,3.0
of55lrk5,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,12,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.5,2500,True,,False,False,12,saql_5D,True,3.0
dnfhemzw,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,10,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.3,2500,True,,False,False,12,saql_5D,True,3.0
w7narkls,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,11,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.5,2500,True,,False,False,12,saql_5D,True,3.0
64vfp5me,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,12,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.3,2500,True,,False,False,12,saql_5D,True,3.0
mfkgcbfz,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,14,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.5,2500,True,,False,False,12,saql_5D,True,3.0
ym98utul,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,19,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.5,2500,True,,False,False,12,saql_5D,True,3.0
h71j8er9,3.2679906934047e-05,5,0.1258201075347501,True,iql,False,13,0.01,0.9147926084577456,1,False,0.9289289127307658,iql,piecewise_linear,best_iql,63,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,39,iql_5D,False,3.0
lu6t13f6,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,14,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,12,saql_5D,True,3.0
tax3z27l,3.2679906934047e-05,5,0.1258201075347501,True,iql,False,18,0.01,0.9147926084577456,1,False,0.9289289127307658,iql,piecewise_linear,best_iql,63,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,39,iql_5D,False,3.0
e2nk76mo,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,17,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.3,2500,True,,False,False,12,saql_5D,True,3.0
70bgglt2,3.2679906934047e-05,5,0.1258201075347501,True,iql,False,12,0.01,0.9147926084577456,1,False,0.9289289127307658,iql,piecewise_linear,best_iql,63,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,39,iql_5D,False,3.0
yhwyta30,3.2679906934047e-05,5,0.1258201075347501,True,iql,False,19,0.01,0.9147926084577456,1,False,0.9289289127307658,iql,piecewise_linear,best_iql,63,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,39,iql_5D,False,3.0
lxrbotyo,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,15,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.3,2500,True,,False,False,12,saql_5D,True,3.0
qpftlanu,3.2679906934047e-05,5,0.1258201075347501,True,iql,False,16,0.01,0.9147926084577456,1,False,0.9289289127307658,iql,piecewise_linear,best_iql,63,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,39,iql_5D,False,3.0
mtacquep,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,16,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.5,2500,True,,False,False,12,saql_5D,True,3.0
3yeymgw1,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,13,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.5,2500,True,,False,False,12,saql_5D,True,3.0
nwk6jg3f,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,14,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.3,2500,True,,False,False,12,saql_5D,True,3.0
sqn4goc4,3.2679906934047e-05,5,0.1258201075347501,True,iql,False,11,0.01,0.9147926084577456,1,False,0.9289289127307658,iql,piecewise_linear,best_iql,63,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,39,iql_5D,False,3.0
8vr6y41t,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,19,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.3,2500,True,,False,False,12,saql_5D,True,3.0
nupap20r,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,18,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,12,saql_5D,True,3.0
u9e9x174,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,19,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,12,saql_5D,True,3.0
7y37od0e,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,12,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,12,saql_5D,True,3.0
q8r9yo10,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,17,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,12,saql_5D,True,3.0
azcfx6sw,3.2679906934047e-05,5,0.1258201075347501,True,iql,False,14,0.01,0.9147926084577456,1,False,0.9289289127307658,iql,piecewise_linear,best_iql,63,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,39,iql_5D,False,3.0
g79n1dux,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,15,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,12,saql_5D,True,3.0
1xhm07rd,3.2679906934047e-05,5,0.1258201075347501,True,iql,False,17,0.01,0.9147926084577456,1,False,0.9289289127307658,iql,piecewise_linear,best_iql,63,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,39,iql_5D,False,3.0
xwvholuy,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,10,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,12,saql_5D,True,3.0
xsjcao02,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,16,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,12,saql_5D,True,3.0
5kck8go7,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,13,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.7,2500,True,,False,False,12,saql_5D,True,3.0
bpdj6lur,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,11,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.3,2500,True,,False,False,12,saql_5D,True,3.0
xp0cqgob,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,18,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.3,2500,True,,False,False,12,saql_5D,True,3.0
hsytlcw1,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,17,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.5,2500,True,,False,False,12,saql_5D,True,3.0
hv9m8bpx,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,18,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.5,2500,True,,False,False,12,saql_5D,True,3.0
asze6cca,7.759007625457441e-05,5,0.6196957387887254,True,saql,False,10,0.01,0.9086120388181772,1,False,0.4607365826186788,saql,piecewise_linear,best_saql,67,4.6,2500,,exponential,0.5,False,10000,0.5,2500,True,,False,False,12,saql_5D,True,3.0
